yellow	colour, color, |0.0|.1|2
rouge	|0.0|.1|0
discover	detect, observe, find, notice, sight, find, conceive, learn, hear, see, find, learn, hear, see, strike, attain, find, regain, disclose^, reveal, expose, break, tell, identify, key, describe, name, |0.0|.1|27
agitate	provoke, stimulate, rouse, charge, excite, disturb, upset, trouble, crusade, fight, press, campaign, push, advertise, promote, push, stir, shift, move, shake, move, vex, disturb, move, displace, |0.0|.1|25
up	increase, |0.0|.1|1
curse	swear, express, utter, abuse, shout, damn, raise, conjure, evoke, stir, arouse, exclude, shut, |0.0|.1|13
appear	look, seem, be, happen, materialize, materialise, seem, be, perform, execute, do, appear, |0.0|.1|12
share	overlap, use, utilize, utilise, apply, employ, partake, get, acquire, deal, distribute, communicate, |0.0|.1|12
abide	stay, stay, continue, remain, digest, endure, stomach, bear, stand, tolerate, support, brook, suffer, permit, allow, let, |0.0|.1|16
pause	hesitate, delay, break, interrupt, disrupt, |0.0|.1|5
gorge	glut, stuff, eat, |0.0|.1|3
roar	resound, noise, thunder, shout, wail, shout, cry, call, scream, squall, proceed, continue, utter, emit, laugh, |0.0|.1|15
hoop	|0.0|.1|0
change	alter, modify, alter, vary, switch, shift, dress, convert, replace, transfer, travel, go, move, deepen, replace, |0.0|.1|15
flame	flare, shine, beam, burn, chastise, castigate, correct, |0.0|.1|7
filch	purloin, pinch, abstract, swipe, hook, lift, steal, |0.0|.1|7
penalize	punish, penalise, |0.0|.1|2
star	have, feature, perform, execute, do, asterisk, mark, |0.0|.1|7
lend	bestow, contribute*, add, bring, change, alter, modify, loan, give, be, |0.0|.1|10
tuck	insert, fold, gather, |0.0|.1|3
mark	tag, label, attach, bespeak, betoken, indicate, point, signal, qualify, characterise, commemorate, observe, celebrate, keep, change, alter, modify, stigmatise, brand, denounce, label, notice, note, scar, score*, notch, set, establish, make, score*, record, enter, check, tick, verify, grade, score*, measure, evaluate, assess, value, punctuate, add, |0.0|.1|43
button	add, fix, secure, |0.0|.1|3
live	inhabit, be, survive, last, go, endure, exist, survive, be, know, experience, experience, undergo, see, live, |0.0|.1|15
harp	repeat, reiterate, iterate, restate, play, |0.0|.1|5
entrance	capture, catch, captivate*, beguile, charm, fascinate*, enchant, attract, appeal, |0.0|.1|9
club	unite, unify, meet, gather, assemble, hit, |0.0|.1|6
clue	wind, wrap, roll, |0.0|.1|3
cave	undermine, explore, |0.0|.1|2
commission	equip, fit, outfit, order, authorize, authorise, pass, clear, |0.0|.1|8
dedicate	give, commit, devote, use, utilize, utilise, apply, employ, inaugurate, give, assign, specify, |0.0|.1|12
rebuff	reject, spurn, scorn, fight, oppose, defend, |0.0|.1|6
fracture	misuse, abuse, destroy, break, break, stop, break, injure, wound, |0.0|.1|9
hear	perceive, learn, discover, see, try, probe, examine, receive, listen, concentrate, focus, center, centre, rivet, |0.0|.1|14
chin	raise, lift, |0.0|.1|2
exclude	except, omit, eliminate, shut, prevent, keep, miss, lack, bar, forbid, prohibit^, veto, disallow, expel, eject, move, displace, |0.0|.1|17
bankrupt	ruin, break, smash, impoverish^, |0.0|.1|4
spread	distribute, move, continue, extend, unfold, open, undo, circulate, distribute, disseminate, broadcast, disperse, publicize, air, bare, circulate, travel, go, move, scatter, circulate, distribute, distribute, cover, spread, |0.0|.1|25
gape	goggle, gawp, look, yawn, be, |0.0|.1|5
dishonour	disgrace*, shame, rape, violate, assault, outrage, assail, assault, attack, refuse, reject, decline, |0.0|.1|12
serve	function, suffice, do, answer, work, effect, service, function, work, operate, go, run, help, provide, supply, ply, cater, dish, provide, supply, ply, cater, work, foster, nurture, do, spend, pass, attend, assist, help, assist, aid, process, deliver, suffice, do, answer, satisfy, fulfill, fulfil, work, service, mate, pair, couple, move, go, |0.0|.1|48
consult	ask, inquire, refer, research, discuss, advise, counsel, |0.0|.1|7
ratify	sign, validate, |0.0|.1|2
still	calm, quiet, tranquillise, quieten, comfort, soothe, console, solace, quieten, silence, suppress, subdue, conquer, curb, allay, relieve, ease, comfort, soothe, console, solace, change, alter, modify, |0.0|.1|24
punctuate	mark, add, stress, emphasize, emphasise, accent, accentuate, express, show, interrupt, disrupt, |0.0|.1|11
tend	lean, incline, run, be, look, see, mind, |0.0|.1|7
amount	total, number, come, be, come, become, turn, |0.0|.1|7
shape	determine, influence, regulate, cause, do, make, form, work, forge, form, change, alter, modify, |0.0|.1|13
chatter	click, sound, go, cut, chat, jaw, visit, discourse, talk, speak, utter, mouth, talk, speak, utter, mouth, |0.0|.1|16
scale	measure, model, pattern, take, reach, make, attain, hit, gain, climb, mount, take, withdraw, quantify, measure, size, |0.0|.1|16
recap	summarize, resume, |0.0|.1|2
provision	supply, provide, furnish, |0.0|.1|3
expedite	hasten*, help, assist, aid, action, sue, process, |0.0|.1|7
enact	ordain, decree, act, play, represent, |0.0|.1|5
jam	throng, mob, pack, pile, crowd, push, force, crush, bruise, block, interrupt, disrupt, cram, stuff, obstruct, impede, block, impede, |0.0|.1|18
drop	move, displace, descend, fall, decline, wane, sink, remove, express, utter, stop, cease, quit, deliver, fell, cut, lose^, spend, expend, pay, change, alter, modify, swing, hang, dismiss, fire, can, dismiss, sack, terminate, dribble, drip, pour, shed, cast, throw, remove, take, withdraw, neglect, omit, miss, overlook, change, deteriorate, worsen^, decline, deliver, bear, birth, have, |0.0|.1|52
supplant	replace, succeed*, follow, |0.0|.1|3
gloss	polish, smooth, shine, comment, interpret, translate, interpret, color, colour, apologize, apologise, excuse, justify, rationalize, |0.0|.1|14
okay	approve, sanction, authorize, authorise, pass, clear, |0.0|.1|6
happen	occur, pass, occur, pass, chance, materialize, materialise, occur, pass, find, chance, bump, encounter, |0.0|.1|13
space	put, set, place, pose, position, lay, |0.0|.1|6
lug	tote, transport, carry, stuff, block, clog, congest, choke^, foul^, |0.0|.1|9
advantage	prefer, favor, favour, |0.0|.1|3
rebel	arise*, rise, protest, resist, dissent, protest, resist, dissent, |0.0|.1|8
card	separate, see, check, insure, ensure, control, assure*, |0.0|.1|7
cycle	pass, pass, wheel, ride, recur, repeat, |0.0|.1|6
pertain	refer, relate, concern, touch, consist, lie, belong, |0.0|.1|7
transition	convert, switch, shift, change, |0.0|.1|4
industrialise	change, alter, modify, change, |0.0|.1|4
sprawl	sit, lie, spread, distribute, |0.0|.1|4
wrangle	dispute, scrap, |0.0|.1|2
omit	exclude, except, eliminate, neglect, drop, miss, overlook, |0.0|.1|7
message	communicate, pass, communicate, pass, communicate, |0.0|.1|5
size	coat, surface, classify, class, sort, assort, separate, |0.0|.1|7
pivot	turn, |0.0|.1|1
revoke	play, lift, reverse, repeal, overturn, cancel, |0.0|.1|6
sheer	curve, trend, slew, cut, turn, steer, manoeuvre, direct, point, head, guide, channelise, |0.0|.1|12
inquire	ask, communicate, wonder, question, query, investigate, probe, examine, |0.0|.1|8
catch	surprise, perceive, get, hit, grab, seize, clutch, get, capture, seize, clutch, hitch, attach, arrest, get, attract, pull, draw, capture, get, acquire, board, get, acquire, overtake, change, control, hold, contain, check, curb, moderate, overhear, hear, watch, view, see, watch, learn, hear, discover, see, get, understand, contract, take, get, erupt, ignite, get, hear, get, hurt^, suffer, capture, captivate*, beguile, charm, fascinate*, entrance, enchant, attract, appeal, get, reproduce, collect, accumulate, compile, spread, play, witness, find, see, delay, detain, |0.0|.1|75
purloin	pinch, abstract, swipe, hook, filch, lift, steal, |0.0|.1|7
thaw	dissolve, liquefy, flux, |0.0|.1|3
brain	hit, kill, |0.0|.1|2
eliminate	destroy, eradicate, kill, reject, pass, expel, eject, release, beat, crush, shell, vanquish, remove, take, withdraw, |0.0|.1|15
peck	pick, strike, eat, smack, kiss, buss, eat, kick, plain, |0.0|.1|9
rationalize	apologize, apologise, excuse, justify, defend, support, cut, eliminate, organize, organise, think, change, alter, modify, |0.0|.1|14
transfer	shift, move, displace, delegate, designate, assign, move, displace, transplant, displace, change, travel, go, move, transmit, transport, channel, channelise, move, displace, remove, shift, transpose, transplant, shift, |0.0|.1|25
remain	stay, rest, be, stay, continue, be, be, persist, stay, |0.0|.1|9
review	analyze, analyse, study, examine, canvas, critique, evaluate, judge, survey, inspect, refresh, remember, retrieve, recall, think, remember, |0.0|.1|16
premier	premiere, premiere, perform, execute, do, |0.0|.1|5
bug	badger, beleaguer, torment, rag, frustrate, tap, |0.0|.1|6
breakfast	eat, feed, give, |0.0|.1|3
offer	supply, provide, furnish, volunteer, act, move, project, propose, extend, give, pay, market, bid, tender, produce, provide, engage, wage, extend, supply, provide, furnish, propose, request, threaten^, |0.0|.1|25
overcome	defeat, subdue, master*, defeat, overwhelm, whelm, overtake, arouse, elicit, kindle, evoke, fire, raise, provoke, defeat, |0.0|.1|15
espouse	adopt, follow, choose, take, select, marry, wed, unite, unify, embrace, adopt, accept, |0.0|.1|12
pack	case, fill, bundle, compact, arrange, transport, carry, appoint, name, nominate, constitute, carry, take, have, feature, throng, mob, pile, jam, crowd, compact, seal, compact, be, load, lade, laden, treat, |0.0|.1|28
begin	get, start, commence, start, start, commence, talk, speak, utter, mouth, be, start, be, start, act, move, achieve, accomplish*, attain, reach, begin, |0.0|.1|21
attempt	try, seek, essay, act, move, undertake, initiate, pioneer, |0.0|.1|8
steady	calm, stabilize, stabilise, brace, stabilize, stabilise, strengthen, |0.0|.1|7
slave	work, |0.0|.1|1
disperse	scatter, sprinkle, dot, dust, dispel, scatter, separate, divide, scatter, separate, part, split, scatter, circulate, distribute, disseminate, broadcast, spread, publicize, air, bare, |0.0|.1|21
file	register, register, smooth, march, process, charge, accuse, record, enter, |0.0|.1|9
copyright	secure, |0.0|.1|1
excerpt	extract, choose, take, select, |0.0|.1|4
title	call, style, name, call, |0.0|.1|4
proportion	adjust, set, correct, |0.0|.1|3
jolt	jar, move, disturb, upset, trouble, |0.0|.1|5
lean	tilt, tip, angle, bend, flex, put, set, place, pose, position, lay, tend, incline, run, be, trust, swear, rely, bank, list, move, |0.0|.1|21
overrun	invade, occupy, invade, inhabit, occupy, spill, overcome, defeat, |0.0|.1|8
roil	churn, boil, move, rile, agitate, vex, disturb, |0.0|.1|7
stain	dye, change, alter, modify, tarnish, defile, spot, blot, dye, |0.0|.1|9
cannon	hit, |0.0|.1|1
honour	reward*, recognize, respect, observe, accept, accept, take, have, |0.0|.1|8
celebrate	observe, keep, fete, meet, respect, honour, observe, |0.0|.1|7
captain	head, lead, |0.0|.1|2
tube	supply, provide, furnish, bring, convey, take, ride, envelop, wrap, |0.0|.1|9
disgruntle	dissatisfy, |0.0|.1|1
husband	conserve, save, preserve*, |0.0|.1|3
attach	connect, link, tie, touch, meet, contact, join, bind, tie, bond, relate, sequester, seize, take, |0.0|.1|14
whitewash	cover, wash, clear, |0.0|.1|3
ramble	continue, proceed, roll, wander, swan, stray, roam, cast, range, drift, travel, go, move, |0.0|.1|13
fan	intensify, compound, heighten, deepen, shake, agitate, sift, sieve, strain, |0.0|.1|9
elect	choose, take, choose, take, |0.0|.1|4
sport	feature, boast, have, feature, play, |0.0|.1|5
suspect	surmise, guess, venture, pretend, hazard, distrust, discredit, think, suppose, imagine, reckon, guess, |0.0|.1|12
colour	color, influence, work, color, emblazon, decorate, adorn, grace*, color, gloss, apologize, apologise, excuse, justify, rationalize, color, distort, affect, impact, touch, color, change, alter, modify, change, |0.0|.1|25
presume	assume, expect, anticipate, dare, act, move, testify, prove, evidence, show, act, behave, do, |0.0|.1|13
justify	warrant, confirm, vindicate, uphold, maintain, apologize, apologise, excuse, rationalize, defend, support, absolve, free, forgive, adjust, set, correct, |0.0|.1|17
notice	detect, observe, find, discover, sight, mark, note, comment, remark, note, observe, mention, remark, acknowledge, react, respond, |0.0|.1|16
recede	withdraw, retreat, retire, travel, go, move, retire, withdraw, retreat, retire, lose^, change, |0.0|.1|12
pluck	tweak, pull, draw, force, roll, steal, soak, surcharge, rob, hook, cheat^, plunk, pick, pull, draw, force, pull, tear, strip, pick, gather, garner, collect, |0.0|.1|23
unbend	relax, loosen, loose, relax, unwind, turn, relax, unwind, |0.0|.1|8
style	title, name, call, make, create, write, |0.0|.1|6
analyze	analyse, study, examine, canvas, analyse, analyse, analyse, treat, |0.0|.1|8
article	oblige, bind, hold, obligate, |0.0|.1|4
contend	claim, argue^, debate, fence, discourse, contest, oppose, compete, vie, cope, grapple, deal, manage, act, move, fight, struggle, |0.0|.1|17
pray	beg, implore, plead, |0.0|.1|3
thumb	hitch, ride, leaf, finger, touch, |0.0|.1|5
originate	arise*, rise, develop, uprise, grow, become, initiate, start, make, create, begin, start, |0.0|.1|12
dispatch	transport, send, ship, complete, accomplish*, execute, action, fulfill, fulfil, murder, slay, hit, off, remove, kill, act, move, kill, |0.0|.1|18
exploit	work, use, utilize, utilise, apply, employ, tap, use, utilize, utilise, apply, employ, overwork, work, |0.0|.1|14
rebuild	construct, build, make, |0.0|.1|3
inform	communicate, change, alter, modify, inform, |0.0|.1|5
astonish	amaze, astound, surprise, |0.0|.1|3
subject	affect, impact, touch, submit, dominate, master*, submit, refer, |0.0|.1|8
develop	create, evolve, acquire, evolve, change, grow, produce, get, acquire, change, originate, arise*, rise, uprise, grow, become, better, improve*, formulate, speculate, suppose, train, prepare, educate, teach, learn, instruct, happen, occur, pass, grow, modernize, change, change, alter, modify, generate, grow, change, change, alter, modify, superimpose, play, play, complicate, refine, elaborate, break, happen, occur, pass, expand*, |0.0|.1|53
expropriate	deprive, strip, |0.0|.1|2
soil	dirty, change, alter, modify, |0.0|.1|4
startle	shock, stun, floor, jump, start, move, |0.0|.1|6
embrace	cover, include, hug, bosom, squeeze, clasp, espouse, adopt, accept, |0.0|.1|9
heel	list, lean, tilt, tip, angle, follow, dance, hit, mend, fix, doctor, restore, |0.0|.1|12
prognosticate	predict, foretell, call, anticipate, promise, guess, venture, pretend, hazard, bode, betoken, foretell, forecast, predict, bespeak, betoken, indicate, point, signal, |0.0|.1|19
repatriate	deliver, admit, |0.0|.1|2
coke	turn, |0.0|.1|1
trump	sound, go, outdo, best, scoop, beat, crush, shell, vanquish, move, go, announce, |0.0|.1|12
investigate	analyze, analyse, study, examine, canvas, inquire, probe, examine, |0.0|.1|8
alligator	crack, |0.0|.1|1
enchant	transport, delight, please, delight, capture, catch, captivate*, beguile, charm, fascinate*, entrance, attract, appeal, glamour, jinx, charm, |0.0|.1|16
complain	kick, plain, charge, |0.0|.1|3
charge	rush, accuse, bill, account, calculate, tear, shoot, buck, rush, hasten*, speed, race, appoint, file, accuse, claim, change, alter, modify, debit, commit, send, transfer, entrust, trust, confide, commit, pay, lie, agitate, rouse, excite, disturb, upset, trouble, paint, load, fill, level, point, aim, take, train, direct, saddle, burden, command, require, compel, instruct, instruct, blame^, assign, attribute, determine, set, change, alter, modify, supply, provide, furnish, saturate, |0.0|.1|63
alleviate	relieve, better, improve*, facilitate, ease, help, assist, aid, |0.0|.1|8
taxi	travel, go, move, cab, ride, |0.0|.1|5
excel	surpass, |0.0|.1|1
anticipate	expect, evaluate, judge, foresee, forestall, counter, act, move, foresee, know, predict, foretell, prognosticate, call, promise, guess, venture, pretend, hazard, expect, look, await, wait, happen, occur, pass, |0.0|.1|26
