yellow	  1,discolor, discolour, colour, color
request	  1, bespeak, call for, quest,communicate, pass on, pass, pass along, put across,2,ask,3,wonder, inquire, enquire
annex	  1,assume, usurp, seize, take over, arrogate,2,append, add on, supplement, affix
refund	  1, return, repay, give back,pay
rally	  1,beat up, drum up, collect, pull in,2,call up, mobilize, mobilise, call, send for,3,muster,  summon, come up, muster up,gather, garner, collect, pull together,4, rebound,recover, go back, recuperate,5,tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit,  ride,mock, bemock
bomb	  1,bombard, attack, assail,2,fail, flunk,  flush it
dent	  1,in flex, bend, deform, twist, turn
gift	  1,endow, indue,  empower, invest, endue,enable,2,give,  present
middle	  1,put, set, place, pose, position, lay
abdicate	  1, renounce,vacate, resign, renounce, give up
menace	  1,endanger, jeopardize, jeopardise,  threaten, imperil, peril,exist, be,2,express, show, evince,3,act, behave, do
snag	  1,hitch, catch,2,obtain,3,hew
waive	  1, relinquish, forgo, foreswear, dispense with,2,forfeit, give up, throw overboard,  forgo,abandon
dye	  1,discolor, discolour, colour, color
have	  1, have got, hold,2, feature,3,experience, receive,  get, undergo,4,own,  possess,5,get, let, make, get,6,consume, ingest, take in, take, 7,interact,8,hold, throw,  make, give,direct,9,10,11, experience,change,12,suffer, hurt,13,induce, stimulate, cause,  get, make,14,accept, take, get, acquire,15,receive, get, acquire,16,suffer, sustain,  get,experience, receive,  get, undergo,17, get, make,score, hit, tally, rack up,18,give birth, deliver, bear, birth, produce, bring forth,19,take, roll in the hay, love, make out, make love, sleep with, get laid, have sex, know, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk
mass	  1,crowd, crowd together
quantify	  1,specify, set, determine, fix, limit,2, measure,carry, convey, express
abound	  1,be,2, burst, bristle,have, feature
refuse	  1, decline,react, respond,2, reject, pass up, turn down, decline,3,defy, resist, elude, escape,4,deny, keep, hold on,5,resist, reject, react, respond,6,reject, turn down, turn away, refuse
consider	  1,see,  reckon, view, regard,think, believe,  conceive,2,study, chew over, think over, meditate, ponder, excogitate, contemplate, muse, reflect, mull, mull over, ruminate, speculate,3, take, deal, look at,think about,4, count, weigh,5, debate, moot, turn over, deliberate,hash out, discuss, talk over,6,think, believe,  conceive,evaluate, pass judgment, judge,7,regard, look,8,view,  look at,analyze, analyse, study, examine, canvass, canvas,9,see,  reckon, view, regard
cause	  1, do, make,make, create,2,induce, stimulate,  have, get, make
restate	  1,repeat, reiterate, ingeminate, iterate,  retell,tell
reason	  1, reason out, conclude,think, cogitate, cerebrate,2,argue, present, represent, lay out,3,think, cogitate, cerebrate
cause	  1, do, make,make, create,2,induce, stimulate,  have, get, make
evict	  1,expel, eject, chuck out, exclude, throw out, kick out, turf out, boot out, turn out,2, force out,expel, eject, chuck out, exclude, throw out, kick out, turf out, boot out, turn out
hunt	  1, run, hunt down, track down,capture, catch,2,hound,  trace,chase, chase after, trail, tail, tag, give chase, dog, go after, track,3,rout out, drive out, force out, rouse,4,yaw,5,oscillate, vibrate,6,search, seek, look for,7,search, look
champion	  1, defend,back, endorse, indorse, plump for, plunk for, support
riot	  1,rampage,2,carouse, roister, revel, racket, make whoopie, make merry, make happy, whoop it up, jollify, wassail
piddle	  1, wanton, wanton away, piddle away, trifle,spend, pass,2,make, urinate,  puddle, micturate, piss, pee, pee-pee, make water, relieve oneself, take a leak, spend a penny, wee, wee-wee, pass water,excrete, egest, eliminate, pass
tail	  1,chase, chase after, trail,  tag, give chase, dog, go after, track,pursue, follow,2,dock,  bob,cut,3,top, pinch
smile	  1,grimace, make a face, pull a face,2,express, show, evince
pay	  1,give,2,give, communicate, intercommunicate,3, pay off, make up, compensate,settle,4,digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up,5,pay up, ante up, 6,yield,  bear,gain, take in, clear, make, earn, realize, realise, pull in, bring in,7,make,8,be,9,give,  devote,think, cogitate, cerebrate,10,settle,11,requite, repay
return	  1, go back, get back, come back,travel, go, move, locomote,2,render, give,3,revert,  retrovert, regress, turn back,change by reversal, turn, reverse,4,hark back,  come back, recall,denote, refer,5, take back, bring back,bring, convey, take,6,reciprocate,7,transport, carry,8,retort, come back, repay,  riposte, rejoin,answer, reply, respond,9,come back, reappear, re-emerge,10,refund,  repay, give back,pay,11,render, deliver, communicate, pass on, pass, pass along, put across,12,reelect, elect,13,fall,  pass, devolve,change hands, change owners,14, go back, get back, come back,15,render, yield,  give, generate,produce, make, create,16,submit, subject
specialise	  1,specialize, work,2,specify, particularize, particularise, specialize, elaborate, lucubrate, expatiate, exposit, enlarge, flesh out, expand, expound, dilate,3,specialize, modify,4,specialize,  narrow, narrow down,change, alter, vary,5,speciate, differentiate, specialize, evolve
trail	  1,drag,  get behind, hang back, drop behind,lag, dawdle, fall back, fall behind,2,chase, chase after,  tail, tag, give chase, dog, go after, track,pursue, follow,3, shack,travel, go, move, locomote,4,5, train,drag
float	  1, drift, be adrift, blow,travel, go, move, locomote,2, swim,travel, go, move, locomote,3,transport,4,test, prove, try, try out, examine, essay,5,travel, go, move, locomote,6,launch,7,smooth, smoothen,8,value,9,convert, change over
blockade	  1,obstruct,  block, hinder, stymie, stymy, embarrass,prevent, forestall, foreclose, preclude, forbid,2,barricade, block,  stop, block off, block up, bar,obstruct, obturate, impede, occlude, jam, block, close up,3, block off,obstruct, obturate, impede, occlude, jam, block, close up,4, seal off,besiege, beleaguer, surround, hem in, circumvent
falsify	  1, distort, garble, warp,misrepresent, belie,2,fudge, manipulate, fake,  cook, wangle, misrepresent,cheat, chisel,3,disprove, confute,4,change by reversal, turn, reverse,5,interpolate, alter, edit, redact
condition	  1,teach, learn, instruct,2,discipline, train, check, develop, make grow,3,stipulate, qualify,  specify,contract, undertake,4,better, improve, amend, ameliorate, meliorate,5,shampoo
outnumber	  1,total, number, add up, come, amount
cable	  1, telegraph, wire,telecommunicate,2,fasten, fix, secure
accompany	  1,attach to,  come with, go with,2,travel, go, move, locomote,3,play along,  follow,play,4,company, companion,  keep company,consort, associate, affiliate, assort
age	  1,develop,2,senesce,  get on, mature, maturate,develop,3,change, alter, modify
lay	  1,put, set, place, pose, position, move, displace,2, put down, repose,put, set, place, pose, position, 3,organize, organise, prepare, devise, get up, machinate,4, put down, repose,5,levy, impose
join	  1, fall in, get together,2, bring together,connect, link, tie, link up,3,4, conconnect, link, tie, link up,5,connect, link, link up,  unite
sand	  1,sandpaper, smooth, smoothen
adjust	  1, set, correct,change, alter, modify,2,align, aline, line up, reorient,3, conform, adapt,change,4,adapt, accommodate,5,decide, settle, resolve, adjudicate
facsimile	  1,fax, telefax, telecommunicate
harry	  1,harass, hassle,  chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke,annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil,2, ravage,destroy, ruin
sink	  1, drop, drop down,change posture,2,move, displace,3, pass, lapse,move,4, settle, go down, go under,descend, fall, go down, come down,5, subside,descend, fall, go down, come down,6,dip, decline,7,slump, fall off, drop,8,slump, slide down, collapse, fall in, cave in, give, give way, break, founder,9,bury, implant, engraft, embed, imbed, plant
burnish	  1,buff,  furbish, flush,polish, smooth, smoothen, shine
display	  1,expose, exhibit, show,2,reveal,  show,communicate, pass on, pass, pass along, put across,3,woo, court, romance, solicit
pass	  1, go through, go across,travel, go, move, locomote,2,travel by, pass by, sur go past, go by, travel, go, move, locomote,3,legislate, ordain, enact,4,elapse, lapse,  slip by, glide by, slip away, go by, slide by, go along,advance, progress, pass on, move on, march on, go on,5, hand, reach, pass on, turn over, give,transfer,6,run, go,  lead, extend,be,7, overtake, overhaul,advance, progress, pass on, move on, march on, go on,8,happen, hap, go on, pass off, occur,  fall out, come about, take place,9, clear,succeed, win, come through, bring home the bacon, deliver the goods,10,spend, 11,guide, run, draw, 12,communicate, pass on,  pass along, put across,convey, transmit, communicate,13,evanesce, fade, blow over, pass off, fleet, disappear, vanish, go away,14, make it,succeed, win, come through, bring home the bacon, deliver the goods,15,exceed, transcend, overstep,  go past, top,excel, stand out, sur16,evaluate, pass judgment, judge,17,let, allow, permit,18,change,19,sink,  lapse,move,20,be,21,throw,22,fall, return,  devolve,change hands, change owners,23, make 24,authorize, authorise,  clear,permit, allow, let, countenance,25,die, decease, perish, go, exit, pass away, expire,  kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,change state, turn,26,excrete, egest, eliminate, discharge, expel, eject, release
steer	  1, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, channelise,control, command,2,control, command,3,guide, direct
clock	  1, time,quantify, measure
section	  1,segment, separate, divide, part
whiff	  1,sniff, smell,2,blow,3,strike out,4,puff, smoke,5,talk, speak, utter, mouth, verbalize, verbalise
center	  1,focus on, center on, revolve around, revolve about, concentrate on, refer, pertain, relate, concern, come to, bear on, touch, touch on,2,concentrate, focus,  centre, pore, rivet,think, cogitate, cerebrate,3, centre,move, displace
prevail	  1,predominate, dominate, rule, reign, 2, hold, obtain,exist, be,3, persist, die hard, run, endure,continue,4, triumph,win,5,persuade
discourage	  1,deter, disapprove, reject,2,3,warn,  admonish, monish,rede, advise, counsel
nurse	  1,treat, care for,2,harbor, harbour, hold, entertain, feel, experience,3,care, give care,4,treat, handle, do by,5,breastfeed, bottle-feed, suckle, suck,  wet- lactate, give suck,feed, give
contrast	  1,distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell, tell apart,2, counterpoint,differ
reveal	  1,uncover, bring out, unveil, show,2,unwrap, disclose, let on, bring out,  discover, expose, divulge, impart, break, give away, let out,tell,3, display, show,communicate, pass on, pass, pass along, put across,4,unwrap, disclose, let on, bring out,  discover, expose, divulge, impart, break, give away, let out
full	  1,beat,2,change, alter, modify,3,wax, increase
hash	  1,chop, chop up
savvy	  1,grok, get the picture, comprehend,  dig, grasp, compass, apprehend,understand
leap	  1,jump,  bound, spring,move,2, jump,switch, shift, change,3,jump,  jump off,move,4,jump, leap
vomit	  1, vomit up, purge, cast, sick, cat, be sick, disgorge, regorge, retch, puke, barf, spew, spue, chuck, upchuck, honk, regurgitate, throw up,excrete, egest, eliminate, pass
vacation	  1, holiday,spend, pass
mound	  1,shape, form, work, mold, mould, forge
experience	  1, undergo, see, go through,participate, take part,2,know,  live, undergo, see, go through,3, receive, have, get, undergo,4,feel, 5,have, change
skyrocket	  1,rocket, rise, lift, arise, move up, go up, come up, uprise
pick	  1,choose, take, select, pick out,2, pluck, cull,gather, garner, collect, pull together,3,blame, find fault, knock, criticize, criticise, pick apart,4,provoke, evoke, call forth, kick up,5,remove, take, take away, withdraw,6,clean, remove, take, take away, withdraw,7,rob,8,foot, pay,9,pluck, plunk, pull, draw, force,10, break up,pierce,11,peck,  beak,strike,12,nibble,  piece,eat
action	  1, sue, litigate, process,challenge,2,carry through, accomplish, execute, carry out,  fulfill, fulfil,complete, finish,effect, effectuate, set up
warrant	  1,justify, confirm, reassert,2,guarantee, back, endorse, indorse, plump for, plunk for, support
mandate	  1,delegate, designate, depute, assign,2,order, prescribe, dictate,3,delegate, designate, depute, assign
follow	  1,travel, go, move, locomote,2,postdate, 3, fall out,result, ensue,4, travel along,travel, go, move, locomote,5,comply,  abide by,obey,6, come after,result, ensue,7, conform to,imitate, copy, simulate,8,be,9,adopt,  espouse,choose, take, select, pick out,10,11,take after, imitate, copy, simulate,12,trace, analyze, analyse, study, examine, canvass, canvas,13,watch, observe,  watch over, keep an eye on,check, check up on, look into, check out, suss out, check over, go over, check into,14,succeed, come after, 15,play along, accompany, play,16,keep up, keep abreast, 17,come, originate, arise, rise, develop, uprise, spring up, grow,18,act, behave, do,19,practice, apply, use,20,be, 21,surveil,  survey,22,pursue, travel, go, move, locomote,23,understand,24,stick to, stick with, persevere, persist, hang in, hang on, hold on
reclaim	  1, repossess,get, acquire,2, recover,recycle, reprocess, reuse,3,reform,  regenerate, rectify,change, alter, modify,4,convert, change over,5,domesticate, domesticize, domesticise,  tame,change, alter, modify
stroll	  1, saunter,walk
stabilise	  1,brace, steady, stabilize, strengthen, beef up, fortify,2,stabilize, change,3,stabilize, change, alter, modify
pearl	  1,gather, garner, collect, pull together
archive	  1, file away,collect, pull in
initiate	  1,originate,  start,make, create,2, pioneer,cause, do, make,3, induct,admit, let in, include,4,broach, hash out, discuss, talk over,5,lead up, originate,  start
